"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
STR_TERJESKILL_IMMUNITY_MOD0radresmod,Natural resistance to radiation exposure:,Natural resistance to radiation exposure:,Přirozená rezistence vůči radiačnímu záření:,Natürliche Widerstandsfähigkeit gegen Strahlungsexposition:,Естественная устойчивость к радиационному облучению:,Naturalna odporność na ekspozycję promieniowaniem:,Természetes ellenállás a sugárzásnak kitettség ellen:,Resistenza naturale all'esposizione alle radiazioni:,Resistencia natural a la exposición a la radiación:,Résistance naturelle à l'exposition aux radiations:,對輻射暴露的自然抵抗力：,放射線被曝への自然抵抗力：,Resistência natural à exposição à radiação:,对辐射暴露的自然抵抗力：,
STR_TERJESKILL_IMMUNITY_MOD0radregenmod,Ability to purge radiation from the body:,Ability to purge radiation from the body:,Schopnost odstraňovat radiaci z těla:,Fähigkeit Strahlung aus dem Körper auszuleiten:,Способность выводить радиацию из организма:,Zdolność do usuwania promieniowania z organizmu:,A sugárzás eltávolításának képessége a testből:,Capacità di eliminare le radiazioni dal corpo:,Capacidad para eliminar la radiación del cuerpo:,Capacité à éliminer les radiations de l'organisme:,清除體內輻射的能力：,体内から放射線を除去する能力：,Capacidade de eliminar radiação do corpo:,清除体内辐射的能力：,
STR_TERJESKILL_MED_NAME,MEDICINE,MEDICINE,MEDICÍNA,MEDIZIN,МЕДИЦИНА,MEDYCYNA,ORVOSLÁS,MEDICINA,MEDICINA,MÉDECINE,醫療,医学,MEDICINA,医疗,
STR_TERJESKILL_MED_DESC,"Mastery of clinical protocols and emergency interventions. This skill determines care efficiency, the speed of medical gestures, the ability to prevent infectious complications, and includes specialized surgical skills for various trauma types.","Mastery of clinical protocols and emergency interventions. This skill determines care efficiency, the speed of medical gestures, the ability to prevent infectious complications, and includes specialized surgical skills for various trauma types.","Mistrovství v klinických protokolech a urgentních intervencích. Tato dovednost určuje efektivitu péče, rychlost lékařských úkonů, schopnost předcházet infekčním komplikacím a zahrnuje specializované chirurgické dovednosti pro různé typy traumat.","Beherrschung klinischer Protokolle und Notfallinterventionen. Diese Fertigkeit bestimmt die Effizienz der Versorgung, die Geschwindigkeit medizinischer Handgriffe, die Fähigkeit infektiöse Komplikationen zu verhindern und umfasst spezialisierte chirurgische Fähigkeiten für verschiedene Trauma-Typen.","Мастерство владения клиническими протоколами и методами экстренного вмешательства. Данный навык определяет эффективность ухода, скорость медицинских манипуляций, способность предотвращать инфекционные осложнения и включает в себя специализированные хирургические навыки для различных типов травм.","Biegłość w protokołach klinicznych i interwencjach ratunkowych. Umiejętność ta określa efektywność opieki, szybkość gestów medycznych, zdolność do zapobiegania powikłaniom zakaźnym i obejmuje specjalistyczne umiejętności chirurgiczne dla różnych typów urazów.","A klinikai protokollok és a sürgősségi beavatkozások ismerete. Ez a készség határozza meg az ellátás hatékonyságát, az orvosi mozdulatok sebességét, a fertőzéses komplikációk megelőzésének képességét, i magában foglalja a különféle traumákra vonatkozó speciális sebészeti ismereteket.","Padronanza dei protocolli clinici e degli interventi d'emergenza. Questa abilità determina l'efficienza delle cure, la rapidità dei gesti medici, la capacità di prevenire complicazioni infettive e include abilità chirurgiche specializzate per vari tipi di traumi.","Maestría en protocolos clínicos e intervenciones de emergencia. Esta habilidad determina la eficiencia de los cuidados, la velocidad de los gestos médicos, la capacidad de prevenir complicaciones infecciosas e incluye habilidades quirúrgicas especializadas para varios tipos de traumatismos.","Maîtrise des protocoles cliniques et des interventions d'urgence. Cette compétence détermine l'efficacité des soins, la vitesse d'exécution des gestes médicaux, la capacité à prévenir les complications infectieuses, et inclut des compétences chirurgicales spécialisées pour divers types de traumatismes.",精通臨床協議與緊急干預技術。此技能決定了護理效率、醫療動作的速度、預防感染併發症的能力，並包含針對各類創傷的專業手術技能。,臨床プロトコルおよび緊急介入の習熟度。このスキルはケアの效率、醫療処置の速度、感染性合併症の予防能力を決定し、様々な外傷タイプに対する専門的な手術スキルを含む。,"Domínio de protocolos clínicos e intervenções de emergência. Esta habilidade determina a eficiência dos cuidados, a rapidez dos gestos médicos, a capacidade de prevenir complicações infecciosas e inclui habilidades cirúrgicas especializadas para vários tipos de trauma.",精通临床协议与紧急干预技术。此技能决定了护理效率、医疗动作的速度、预防感染并发症的能力，并包含针对各类创伤的专业手术技能。,
STR_TERJESKILL_MEDICINE_MOD0surgsw,Stab wound surgery bonus:,Stab wound surgery bonus:,Bonus k operaci bodných ran:,Bonus für die Chirurgie von Stichwunden:,Бонус к хирургии колотых ран:,Bonus do chirurgii ran kłutych:,Szúrt seb sebészeti bónusza:,Bonus chirurgia per ferite da taglio:,Bonificación por cirugía de heridas punzantes:,Bonus de chirurgie des plaies par arme blanche:,刺傷手術獎勵：,刺傷の手術ボーナス：,Bônus de cirurgia de ferimentos por faca:,刺伤手术奖励：,
STR_TERJESKILL_MEDICINE_MOD0surgbw,Bullet wound surgery bonus:,Bullet wound surgery bonus:,Bonus k operaci střelných ran:,Bonus für die Chirurgie von Schusswunden:,Бонус к хирургии пулевых ранений:,Bonus do chirurgii ran postrzałowych:,Lőtt seb sebészeti bónusza:,Bonus chirurgia per ferite da arma da fuoco:,Bonificación por cirugía de heridas de bala:,Bonus de chirurgie des plaies par balle:,槍傷手術獎勵：,銃創の手術ボーナス：,Bônus de cirurgia de ferimentos de bala:,枪伤手术奖励：,
STR_TERJESKILL_MEDICINE_MOD0surgint,Visceral wound surgery bonus:,Visceral wound surgery bonus:,Bonus k operaci vnitřních ran:,Bonus für die Chirurgie viszeraler Wunden:,Бонус к хирургии внутренних ран:,Bonus do chirurgii ran trzewnych:,Zsigeri seb sebészeti bónusza:,Bonus chirurgia per ferite viscerali:,Bonificación por cirugía de heridas viscerales:,Bonus de chirurgie des plaies viscérales:,內臟傷口手術獎勵：,臓器損傷の手術ボーナス：,Bônus de cirurgia de ferimentos viscerais:,内脏伤口手术奖励：,
STR_TERJESKILL_MEDICINE_MOD0cleanstr,Infection risk during care and surgery:,Infection risk during care and surgery:,Riziko sepse během ošetření a chirurgie:,Sepsisrisiko bei Versorgung und chirurgischen Eingriffen:,Риск возникновения сепсиса при лечении и хирургии:,Ryzyko sepsy podczas opieki i zabiegów chirurgicznych:,Szepszis kockázata az ellátás és a sebészeti beavatkozások során:,Rischio di sepsi durante le cure e la chirurgia:,Riesgo de sepsis durante los cuidados y cirugía:,Risque d'infection lors de soins et opérations :,護理與手術期間的敗血症風險：,ケアおよび手術時の敗血症リスク：,Risco de sepse durante cuidados e cirurgia:,护理与手术期间的败血症风险：,
STR_TERJESKILL_MEDICINE_MOD0pharmac,Medicinal effect duration:,Medicinal effect duration:,Doba trvání farmakokinetického účinku léčiv:,Pharmakokinetische Wirkungsdauer von Medikamenten:,Фармакокинетическая длительность действия препаратов:,Czas trwania efektu farmakokinetycznego leków:,Gyógyszerek farmakokinetikai hatóideje:,Durata dell'effetto farmacocinetico dei medicinali:,Duración del efecto farmacocinético de los medicamentos:,Durée des effets médicamenteux :,藥物的藥代動力學作用持續時間：,薬物の薬物動態効果持続時間：,Duração do efeito farmacocinético dos medicamentos:,药物的药代动力学作用持续时间：,
STR_TERJESKILL_MEDICINE_MOD0mastdress,Time to apply bandages:,Time to apply bandages:,Čas aplikace obvazů:,Zeitaufwand für das Anlegen von Verbänden:,Время наложения повязок:,Czas aplikacji bandaży:,Kötözés felhelyezésének ideje:,Tempo di applicazione delle bende:,Tempo di applicazione de vendajes:,Durée pour appliquer des bandages :,包紮繃帶所需時間：,包帯の適用時間：,Bônus de aplicação de bandagens:,包扎绷带所需时间：,
STR_TERJESKILL_MEDICINE_MOD0surgeon,Time to perform surgeries:,Time to perform surgeries:,Čas provádění chirurgických zákroků:,Zeitaufwand für chirurgische Eingriffe:,Время проведения хирургических операций:,Czas wykonywania zabiegů chirurgicznych:,Sebészeti beavatkozások elvégzésének ideje:,Tempo di esecuzione degli interventi chirurgici:,Tiempo de ejecución de cirugías:,Durée pour réaliser des opérations :,執行手術所需時間：,手術の実行時間：,Tempo de execução de cirurgias:,执行手术所需时间：,
STR_TERJESKILL_ATHLETIC_NAME,ATHLETICS,ATHLETICS,ATLETIKA,ATHLETIK,АТЛЕТИКА,ATLETYKA,ATLÉTIKA,ATLETICA,ATLETISMO,ATHLÉTISME,體能,運動能力,ATLETISMO,体能,
STR_TERJESKILL_ATHLETIC_DESC,"Represents overall physical condition, flexibility, and explosive power. This skill governs prolonged effort management, ease in aquatic environments, vertical movement speed, and increases the subject's overall stamina pool. Rigorous athletic training also strengthens bone density, limiting the risk of fractures during impacts or falls.","Represents overall physical condition, flexibility, and explosive power. This skill governs prolonged effort management, ease in aquatic environments, vertical movement speed, and increases the subject's overall stamina pool. Rigorous athletic training also strengthens bone density, limiting the risk of fractures during impacts or falls.","Představuje celkovou fyzickou kondici, flexibilitu a explozivní sílu. Tato dovednost řídí management dlouhodobého úsilí, obratnost ve vodním prostředí, rychlost vertikálního pohybu a zvyšuje celkovou zásobu výdrže subjektu. Rigorózní atletický trénink rovněž posiluje denzitu kostí, čímž limituje riziko fraktur při nárazech či pádech.","Repräsentiert die allgemeine körperliche Verfassung, Flexibilität und Explosivkraft. Diese Fertigkeit steuert das Management anhaltender Anstrengung, die Agilität in aquatischen Umgebungen, die vertikale Bewegungsgeschwindigkeit und erhöht den gesamten Ausdauerpool des Subjekts. Ein rigoroses athletisches Training stärkt zudem die Knochendichte und begrenzt das Frakturrisiko bei Aufprall oder Stürzen.","Отражает общую физическую форму, гибкость и взрывную силу. Данный навык управляет распределением ресурсов при длительных нагрузках, маневренностью в водной среде, скоростью вертикального перемещения и увеличивает общий запас выносливости субъекта. Строгая атлетическая подготовка также укрепляет плотность костей, ограничивая риск переломов при ударах или падениях.","Reprezentuje ogólną kondycję fizyczną, elastyczność i siłę eksplozywną. Umiejętność ta zarządza gospodarką wysiłku długotrwałego, sprawnością w środowisku wodnym, szybkością przemieszczania się w pionie oraz zwiększa ogólną pulę kondycji obiektu. Rygorystyczny trening atletyczny wzmacnia również gęstość kości, ograniczając ryzyko fraktur podczas uderzeń lub upadków.","Az általános fizikai kondíciót, rugalmasságot és robbanékonyságot reprezentálja. Ez a készség szabályozza a tartós erőfeszítés menedzselését, a vízi környezetben való jártasságot, a vertikális mozgás sebességét és növeli az alany általános állóképességi készletét. A szigorú atlétikai edzés a csontsűrűséget is növeli, korlátozva a fraktúra kockázatát ütések vagy esések során.","Rappresenta la condizione fisica generale, la flessibilità e la potenza esplosiva. Questa abilità governa la gestione dello sforzo prolungato, l'agilità in ambienti acquatici, la velocità di movimento verticale e aumenta la riserva complessiva di stamina del soggetto. Un rigoroso allenamento atletico rafforza inoltre la densità ossea, limitando il rischio di fratture durante impatti o cadute.","Representa la condición física general, la flexibilidad y la potencia explosiva. Esta habilidad gobierna la gestión del esfuerzo prolongado, la agilidad en entornos acuáticos, la velocidad de movimiento vertical y aumenta la reserva total de resistencia del sujeto. Un entrenamiento atletico riguroso también fortalece la densidad ósea, limitando el riesgo de fracturas durante impactos o caídas.","Représente la condition physique générale, la souplesse et la puissance explosive du sujet. Cette compétence conditionne la gestion de l'effort prolongé, l'aisance dans les milieux aquatiques, la rapidité de mouvement verticale et augmente la réserve globale d'endurance du sujet. Un entraînement athlétique rigoureux renforce également la densité osseuse, limitant les risques de fractures lors d'impacts ou de chutes.",代表整體的身體狀況、靈活性與爆發力。此技能主導長時間負荷管理、水域環境的適應力、垂直移動速度，並增加受試者的整體耐力值。嚴格的體能訓練還能強化骨密度，限制撞擊或墜落時的骨折風險。,総合的な身体コンディション、柔軟性、および瞬発力を表す。このスキルは長時間の負荷管理、水中環境での適応力、垂直移動速度を司り、対象の全体的なスタミナプールを増加させる。厳格なトレーニングは骨密度を強化し、衝撃や転落時の骨折リスクを限定させる。,"Representa a condição física geral, flexibilidade e potência explosiva. Esta habilidade governa a gestão do esforço prolongado, a agilidade em ambientes aquáticos, a velocidade de movimento vertical e aumenta a reserva total de resistência do sujeito. O treinamento atlético rigoroso também fortalece a densidade ósea, limitando o risco de fraturas durante impactos ou quedas.",代表整体的身体状况、灵活性与爆发力。此技能主导长时间负荷管理、水域环境的适应力、垂直移动速度，并增加受试者的整体耐力值。严格的体能训练还能强化骨密度，限制撞击或坠落时的骨折风险。,
STR_TERJESKILL_ATHLETIC_MOD0maxstaminamod,Stamina max bonus:,Stamina max bonus:,Bonus k maximální výdrži:,Bonus für maximale Ausdauer:,Бонус к максимальной выносливости:,Bonus do maksymalnej kondycji:,Maximális állóképesség bónusz:,Bonus stamina massima:,Bonificación de resistencia máxima:,Bonus d'endurance maximale:,耐力最大獎勵：,最大スタミナボーナス：,Bônus de resistência máxima:,耐力最大奖励：,
STR_TERJESKILL_ATHLETIC_MOD0quickf,Sprinting stamina consumption:,Sprinting stamina consumption:,Spotřeba výdrže při sprintu:,Ausdauerverbrauch beim Sprinten:,Потребление выносливости при спринте:,Zużycie kondycji podczas sprintu:,Sprinting állóképesség-fogyasztása:,Consumo di stamina durante lo sprint:,Consumo de resistencia al esprintar:,Consommation d'endurance en sprint :,衝刺時的耐力消耗：,スプリント時のスタミナ消費：,Consumo de resistência ao correr:,冲刺时的耐力消耗：,
STR_TERJESKILL_ATHLETIC_MOD0swimmer,Crawl efficiency:,Crawl efficiency:,Efektivita plavání:,Schwimmeffizienz:,Эффективность кроля:,Wydajność pływania:,Úszás hatékonysága:,Efficienza del crawl:,Eficiencia de nado:,Efficacité du crawl :,爬泳效率：,クロールの効率：,Eficiência de nado:,爬泳效率：,
STR_TERJESKILL_ATHLETIC_MOD0ladder,Ladder sprinting efficiency:,Ladder sprinting efficiency:,Efektivita sprintu na žebříku:,Effizienz beim Sprinten auf Leitern:,Эффективность спринта по лестницам:,Wydajność sprintu na drabinie:,Létrán való sprintelés hatékonysága:,Efficienza dello sprint su scala:,Eficiencia de esprint en escaleras:,Efficacité du sprint sur échelle :,梯子衝刺效率：,梯子スプリントの効率：,Eficiência de subida em escadas:,梯子冲刺效率：,
STR_TERJESKILL_ATHLETIC_MOD0strbones,Fracture risk:,Fracture risk:,Riziko fraktur:,Frakturrisiko:,Риск возникновения переломов:,Ryzyko fraktury:,Fraktúra kockázata:,Rischio di fratura:,Riesgo de fractura:,Risque de fracture :,骨折風險：,骨折リスク：,Risco de fratura:,骨折风险：,
STR_TERJESKILL_STRENGTH_NAME,STRENGTH,STRENGTH,SÍLA,STÄRKE,СИЛА,SIŁA,ERŐ,FORZA,FUERZA,FORCE,力量,筋力,FORÇA,力量,
STR_TERJESKILL_STRENGTH_DESC,"Measures raw physical power and muscular constitution. This skill governs carrying capacity, stamina economy during blocks, and the impact of melee assaults. A high strength level allows for breaking through enemy guards while maintaining optimal combat endurance.","Measures raw physical power and muscular constitution. This skill governs carrying capacity, stamina economy during blocks, and the impact of melee assaults. A high strength level allows for breaking through enemy guards while maintaining optimal combat endurance.","Měří hrubou fyzickou sílu a svalovou konstituci. Tato dovednost určuje nosnost, ekonomiku výdrže při blokování a impakt kontaktních útoků. Vysoká úroveň síly umožňuje prorazit nepřátelskou záštitu při zachování optimální bojové endurance.","Misst die rohe physische Kraft und muskuläre Konstitution. Diese Fertigkeit bestimmt die Tragkapazität, die Ausdauerökonomie beim Blocken und die Wirkung von Nahkampfangriffen. Eine hohe Stärkestufe ermöglicht das Durchbrechen der gegnerischen Deckung bei gleichzeitig optimaler Kampfendurance.","Мера чистой физической мощи и мышечной конституции. Данный навык определяет грузоподъемность, экономию выносливости при блокировании и импакт при ближнем бое. Высокий уровень силы позволяет пробивать защиту противника, сохраняя при этом оптимальную боевую выносливость.","Mierzy surową moc fizyczną i konstytucję mięśniową. Umiejętność ta determinuje udźwig, ekonomię kondycji podczas blokowania oraz impakt ataków wręcz. Wysoki poziom siły pozwala na przełamywanie gardy przeciwnika przy jednoczesnym zachowaniu optymalnej wytrzymałości bojowej.","A nyers fizikai erőt és az izomzat felépítését méri. Ez a készség határozza meg a teherbírást, a blokkolás során tanúsított állóképesség-ökonómiát és a közelharci támadások impaktját. A magas szintű erő umožňuje az ellenfél hárításának áttörését az optimális harci endurance megőrzése mellett.","Misura la potenza fisica grezza e la costituzione muscolare. Questa abilità governa la capacità di carico, l'economia della stamina durante i blocchi e l'impatto degli assalti in mischia. Un alto livello di forza permette di spezzare la guardia nemica mantenendo un'endurance di combattimento ottimale.","Mide la potencia física bruta y la constitución muscular. Esta habilidad gobierna la capacidad de carga, la economía de resistencia durante los bloqueos y el impacto de los asaltos cuerpo a cuerpo. Un alto nivel de fuerza permite romper la guardia enemiga manteniendo una resistencia de combate óptima.","Mesure la puissance physique brute et la constitution musculaire du sujet. Cette compétence régit la charge maximale transportable, l'économie d'effort lors des blocages et l'impact des assauts au corps à corps. Un haut niveau de force permet de briser les gardes adverses tout en maintenant une endurance optimale en combat.",衡量原始物理力量與肌肉組成。此技能主導負重能力、格擋時的耐力經濟性，以及近戰攻擊的衝擊力。高力量等級可在保持最佳戰鬥續航力的同時，突破敵人的防禦。,純粋な物理的パワーと筋肉組織を測定する。このスキルは可搬重量、ガード時のスタミナ経済性、および近接攻撃の衝撃力を司る。高い筋力レベルは、最適な戦闘スタミナを維持しつつ敵のガードを崩すことを可能にする。,"Mede a potência fisica bruta e a constituição muscular. Esta habilidade governa a capacidade de carga, a economia de resistência durante bloqueios e o impacto de assaltos corpo a corpo. Um alto nível de força permite romper la guardia enemiga manteniendo una resistência de combate ideal.",衡量原始物理力量与肌肉组成。此技能主导负重能力、格挡时的耐力经济性，以及近战攻击的冲击力。高力量等级可在保持最佳战斗续航力的同时，突破敌人的防御。,
STR_TERJESKILL_STRENGTH_MOD0maxweightmod,Carrying capacity:,Carrying capacity:,Kapacita nosnosti:,Tragkapazität:,Грузоподъемность:,Udźwig:,Teherbíró képesség:,Capacità di carico:,Capacidad de carga:,Capacité de port de charge :,負重能力：,可搬重量：,Capacidade de carga:,负重能力：,
STR_TERJESKILL_STRENGTH_MOD0mrdefence,Stamina consumption for parrying:,Stamina consumption for parrying:,Spotřeba výdrže při parírování:,Ausdauerverbrauch beim Parieren:,Потребление выносливости при парировании:,Zużycie kondycji podczas parowania:,Állóképesség-fogyasztás parírozáskor:,Consumo di stamina per parare:,Consumo de resistencia al parar:,Consommation d'endurance pour parer :,招架時的耐力消耗：,パリィ時のスタミナ消費：,Consumo de resistência ao aparar:,招架时的耐力消耗：,
STR_TERJESKILL_STRENGTH_MOD0lattkforce,Fast attack damage:,Fast attack damage:,Poškození rychlým útokem:,Schaden durch schnelle Angriffe:,Урон от быстрых атак:,Obrażenia od szybkich ataków:,Gyors támadások sebzése:,Danni da attacco rapido:,Daño de ataque rápido:,Dégâts des attaques rapides :,快速攻擊傷害：,強攻撃のダメージ：,Dano de ataque rápido:,快速攻击伤害：,
